id,conditions,item,slider_value,read_time,image_error
60f57c2770615,dap,14,50,[663],False
60f57c2770615,farbe_unscharf,79,30,[981],False
60f57c2770615,grosse_unscharf,98,33,[889],False
60f580f123896,dap,3,100,[12077],False
60f580f123896,dap,18,100,[11080],False
60f580f123896,farbe_unscharf,94,0,[8224],False
60f580f123896,grosse_scharf,33,100,[8088],False
60f580f123896,grosse_scharf,59,0,[6839],False
60f580f123896,farbe_unscharf,62,0,[9333],False
60f580f123896,grosse_unscharf,129,0,[6575],False
60f580f123896,dap,23,0,[5813],False
60f580f123896,farbe_scharf,139,0,[7732],False
60f580f123896,farbe_unscharf,75,0,[6528],False
60f580f123896,grosse_unscharf,123,0,[5998],False
60f580f123896,dap,6,100,[7150],False
60f580f123896,farbe_unscharf,65,0,[12816],False
60f580f123896,grosse_scharf,40,0,[15550],False
60f580f123896,dap,17,100,[94229],False
60f580f123896,farbe_scharf,136,0,[10016],False
60f580f123896,dap,10,0,[7171],False
60f580f123896,farbe_scharf,145,-1,[7577],False
60f580f123896,farbe_scharf,155,-1,[6397],False
60f580f123896,farbe_scharf,142,0,[9550],False
60f580f123896,grosse_scharf,30,0,[9526],False
60f580f123896,dap,13,0,[5815],False
60f580f123896,dap,12,0,[7748],False
60f580f123896,dap,19,-1,[10115],False
60f580f123896,farbe_unscharf,78,-1,[5522],False
60f580f123896,grosse_unscharf,104,0,[6802],False
60f580f123896,farbe_unscharf,81,-1,[4417],False
60f580f123896,dap,14,2,[4216],False
60f580f123896,dap,11,98,[9392],False
60f580f123896,farbe_scharf,161,2,[3938],False
60f580f123896,dap,4,97,[6946],False
60f580f123896,grosse_unscharf,126,2,[4855],False
60f580f123896,grosse_scharf,46,2,[3911],False
60f580f123896,dap,15,2,[7406],False
60f580f123896,dap,5,2,[7844],False
60f580f123896,dap,9,3,[3767],False
60f580f123896,grosse_scharf,27,3,[5575],False
60f580f123896,farbe_scharf,168,96,[9202],False
60f580f123896,dap,2,96,[4143],False
60f580f123896,dap,24,99,[4627],False
60f580f123896,grosse_scharf,49,2,[7344],False
60f580f123896,dap,7,2,[3252],False
60f580f123896,dap,8,98,[3864],False
60f580f123896,grosse_unscharf,120,4,[11280],False
60f580f123896,grosse_scharf,43,4,"[2640, 6124, 14698]",False
60f580f123896,farbe_scharf,158,1,[8409],False
60f580f123896,farbe_unscharf,91,1,[5305],False
60f580f123896,grosse_unscharf,97,1,[4513],False
60f580f123896,grosse_unscharf,110,1,[2352],False
60f580f123896,grosse_unscharf,113,1,[2862],False
60f580f123896,grosse_scharf,56,1,[4744],False
60f580f123896,dap,1,2,[2849],False
60f580f123896,dap,22,[2601],False
60f580f123896,dap,16,98,[3660],False
60f580f123896,dap,21,3,[2973],False
60f580f123896,grosse_unscharf,107,3,[2521],False
60f580f123896,farbe_unscharf,88,3,[3103],False
60f580f123896,farbe_scharf,152,2,[4768],False
60f580f123896,dap,20,99,[4128],False
60f580f123896,farbe_unscharf,72,1,[4253],False
60f58d01a44df,grosse_scharf,29,82,[19728],False
60f58d01a44df,dap,4,10,[14766],False
60f58d01a44df,dap,1,13,[8362],False
60f58d01a44df,dap,13,76,[7450],False
60f58d01a44df,dap,9,28,[9844],False
60f58d01a44df,farbe_unscharf,87,79,[14971],False
60f58d01a44df,dap,7,24,[7128],False
60f58d01a44df,grosse_scharf,26,22,[19215],False
60f58d01a44df,dap,24,99,[5494],False
60f58d01a44df,farbe_unscharf,90,78,[24436],False
60f58d01a44df,grosse_unscharf,106,12,[12948],False
60f58d01a44df,farbe_scharf,141,11,[15635],False
60f58d01a44df,dap,3,10,[5791],False
60f58d01a44df,dap,16,97,[5212],False
60f58d01a44df,grosse_scharf,39,9,[9532],False
60f58d01a44df,grosse_unscharf,109,91,[17481],False
60f58d01a44df,grosse_unscharf,116,8,[9176],False
60f58d01a44df,dap,22,98,[5796],False
60f58d01a44df,dap,14,0,[7242],False
60f58d01a44df,dap,20,100,[5795],False
60f58d01a44df,grosse_unscharf,122,21,[17431],False
60f58d01a44df,farbe_scharf,157,11,[24600],False
60f58d01a44df,grosse_scharf,55,94,[11180],False
60f58d01a44df,dap,12,5,[18428],False
60f58d01a44df,grosse_scharf,58,98,[8285],False
60f58d01a44df,grosse_scharf,52,1,[7757],False
60f58d01a44df,dap,18,99,[4121],False
60f58d01a44df,farbe_unscharf,68,98,[9699],False
60f58d01a44df,dap,6,16,[5946],False
60f58d01a44df,dap,10,4,[10995],False
60f58d01a44df,grosse_unscharf,100,100,[12353],False
60f58d01a44df,farbe_unscharf,61,2,[5602],False
60f58d01a44df,farbe_unscharf,71,81,[7731],False
60f58d01a44df,grosse_scharf,42,86,[9881],False
60f58d01a44df,farbe_unscharf,93,90,[8555],False
60f58d01a44df,farbe_unscharf,74,11,[6173],False
60f58d01a44df,dap,11,16,[9984],False
60f58d01a44df,grosse_scharf,36,17,[5784],False
60f58d01a44df,grosse_unscharf,103,-1,[12411],False
60f58d01a44df,dap,19,24,[9829],False
60f58d01a44df,dap,8,43,"[5740, 10446]",False
60f58d01a44df,dap,5,15,[5375],False
60f58d01a44df,farbe_scharf,164,17,[5845],False
60f58d01a44df,farbe_scharf,135,15,[9069],False
60f58d01a44df,dap,15,14,[4538],False
60f58d01a44df,dap,21,30,[6214],False
60f58d01a44df,grosse_scharf,45,88,[8620],False
60f58d01a44df,farbe_unscharf,77,87,[5068],False
60f58d01a44df,dap,2,5,[5112],False
60f58d01a44df,grosse_unscharf,125,10,[4809],False
60f58d01a44df,grosse_unscharf,132,89,[6172],False
60f58d01a44df,farbe_scharf,167,90,[5719],False
60f58d01a44df,farbe_scharf,154,19,[4976],False
60f58d01a44df,farbe_scharf,138,79,[8851],False
60f58d01a44df,farbe_scharf,148,87,[5962],False
60f58d01a44df,grosse_unscharf,119,17,[4840],False
60f58d01a44df,dap,17,90,[5245],False
